word,frequency,rank
"martin",14981,1306
"jente",14979,1307
"stykke",14946,1308
"stoler",14911,1309
"personer",14911,1310
"lett",14906,1311
"tenkt",14890,1312
"spørsmål",14886,1313
"sætter",14876,1314
"betalt",14866,1315
"dumme",14861,1316
"vigtigt",14857,1317
"dollars",14853,1318
"mellom",14846,1319
"direkt",14823,1320
"ligeglad",14820,1321
"kvinnor",14816,1322
"månader",14806,1323
"utanför",14802,1324
"arbejdet",14794,1325
"døden",14783,1326
"stannar",14765,1327
"fanget",14757,1328
"val",14751,1329
"sjov",14750,1330
"spor",14747,1331
"let",14722,1332
"slip",14709,1333
"sanningen",14709,1334
"stämmer",14703,1335
"luk",14699,1336
"uger",14686,1337
"kvinne",14669,1338
"lämnade",14667,1339
"forstået",14646,1340
"værre",14583,1341
"ansvar",14564,1342
"dro",14560,1343
"lär",14542,1344
"jake",14509,1345
"stoppa",14507,1346
"slapp",14505,1347
"dödar",14475,1348
"syv",14453,1349
"pratade",14446,1350
"ordne",14444,1351
"talar",14442,1352
"savner",14441,1353
"steve",14426,1354
"find",14417,1355
"aftale",14412,1356
"undan",14410,1357
"høres",14408,1358
"lita",14405,1359
"sidst",14404,1360
"killar",14398,1361
"lå",14374,1362
"luften",14353,1363
"spørger",14352,1364
"brev",14327,1365
"johnny",14290,1366
"mulig",14270,1367
"dele",14256,1368
"vinner",14249,1369
"ene",14204,1370
"flytta",14192,1371
"igår",14188,1372
"rejse",14171,1373
"overalt",14162,1374
"udenfor",14153,1375
"thomas",14147,1376
"flicka",14133,1377
"di",14127,1378
"roll",14124,1379
"jaha",14103,1380
"krigen",14095,1381
"lära",14052,1382
"vatten",14050,1383
"dræber",14048,1384
"svart",14006,1385
"ansigt",13999,1386
"held",13991,1387
"købe",13986,1388
"pass",13969,1389
"værd",13964,1390
"glemme",13937,1391
"skicka",13914,1392
"musik",13912,1393
"treffe",13911,1394
"hatar",13911,1395
"chefen",13896,1396
"chris",13886,1397
"følg",13883,1398
"kallar",13882,1399
"föräldrar",13854,1400
"setter",13850,1401
"fleste",13816,1402
"vidare",13810,1403
"tidlig",13809,1404
"te",13802,1405
"bordet",13777,1406
"verdens",13776,1407
"jenta",13775,1408
"fortjener",13766,1409
"kendte",13750,1410
"före",13714,1411
"dårligt",13700,1412
"partner",13679,1413
"stopper",13673,1414
"midt",13673,1415
"gratis",13670,1416
"köra",13670,1417
"skynda",13668,1418
"stjal",13658,1419
"best",13636,1420
"claire",13632,1421
"planer",13625,1422
"sønn",13621,1423
"fyre",13620,1424
"vin",13590,1425
"skole",13582,1426
"alltså",13571,1427
"uppe",13565,1428
"will",13559,1429
