word,frequency,rank
"samtidigt",5372,1360
"droger",5368,1361
"will",5367,1362
"scott",5359,1363
"titt",5351,1364
"använd",5344,1365
"sköta",5339,1366
"ihjäl",5333,1367
"vägrar",5332,1368
"ske",5331,1369
"ungar",5331,1370
"bilden",5327,1371
"farfar",5322,1372
"fängelset",5305,1373
"mördade",5305,1374
"letade",5303,1375
"faller",5300,1376
"flyger",5294,1377
"tappade",5290,1378
"mormor",5290,1379
"sjunga",5282,1380
"hemsk",5272,1381
"suger",5268,1382
"sekund",5264,1383
"dök",5260,1384
"soldater",5259,1385
"sköter",5250,1386
"regler",5226,1387
"pris",5223,1388
"skriv",5222,1389
"kusin",5207,1390
"betalt",5205,1391
"jävligt",5201,1392
"förklarar",5198,1393
"snällt",5197,1394
"speciell",5189,1395
"delen",5186,1396
"amerikanska",5182,1397
"knappast",5173,1398
"människorna",5170,1399
"hunden",5170,1400
"hänga",5167,1401
"chuck",5164,1402
"dyker",5157,1403
