word,frequency,rank
"sager",4293,1374
"gifte",4292,1375
"henne",4291,1376
"beholde",4288,1377
"rejs",4284,1378
"lyt",4283,1379
"gal",4282,1380
"mester",4280,1381
"gruppe",4272,1382
"ganske",4270,1383
"fuldstændig",4269,1384
"soldater",4267,1385
"tvivl",4267,1386
"alder",4257,1387
"læste",4255,1388
"luft",4251,1389
"ledte",4244,1390
"besøge",4243,1391
"biler",4240,1392
"absolut",4238,1393
"toilettet",4237,1394
"ofre",4236,1395
"arthur",4236,1396
"herude",4231,1397
"engelsk",4227,1398
"gibbs",4225,1399
"stiller",4218,1400
"rend",4218,1401
"forventer",4215,1402
"drejer",4213,1403
"tabt",4210,1404
"politi",4196,1405
"hurtig",4191,1406
"flygte",4180,1407
"trist",4179,1408
